WRN 2026-03-02T13:14:25.475 ui.434212  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-03-02T13:14:39.602 ui.434244  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-03-02T13:14:58.113 ui.434342  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-03-02T13:15:20.775 ui.434380  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-03-02T13:15:39.514 ui.434416  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-03-02T13:16:53.035 ui.434489  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-03-02T13:16:59.765 ui.434507  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-03-02T13:17:22.768 ui.434765  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-03-02T13:17:28.904 ui.434786  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-03-02T13:17:36.032 ui.434862  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
WRN 2026-03-02T13:17:43.733 ui.434882  tui_handle_term_mode:239: TUI: terminal mode 2031 detected, state 2
